award_edition_id,edition,aYear,cDate,venue_id,duration,network
1,1,1929,,8,,ABC
2,2,1930,,,,ABC
3,3,1931,,,,ABC
4,4,1932,,,,ABC
5,5,1933,,,,ABC
6,6,1934,,,,ABC
7,7,1935,,,,ABC
8,8,1936,,,,ABC
9,9,1937,,,,ABC
10,10,1938,,,,ABC
11,11,1939,,,,ABC
12,12,1940,,,,ABC
13,13,1941,,,,ABC
14,14,1942,"February 26, 1942",9,,ABC
15,15,1943,,,,ABC
16,16,1944,"March 2, 1944",10,,ABC
17,17,1945,,,,ABC
18,18,1946,,,,ABC
19,19,1947,,,,ABC
20,20,1948,,,,ABC
21,21,1949,,,,ABC
22,22,1950,,,,ABC
23,23,1951,1952-02-28,,,ABC
24,24,1952,1953-02-28,,,ABC
25,25,1953,1954-02-28,,,ABC
26,26,1954,1955-02-28,,,ABC
27,27,1955,1956-02-28,,,ABC
28,28,1956,1957-02-28,,,ABC
29,29,1957,1958-02-28,,,ABC
30,30,1958,1959-02-28,,,ABC
31,31,1959,1960-02-28,,,ABC
32,32,1960,1961-02-28,,,ABC
33,33,1961,1962-02-28,,,ABC
34,34,1962,1963-02-28,,,ABC
35,35,1963,1964-02-28,,,ABC
36,36,1964,1965-02-28,,,ABC
37,37,1965,1966-02-28,,,ABC
38,38,1966,1967-02-28,,,ABC
39,39,1967,1968-02-28,,,ABC
40,40,1968,1969-02-28,,,ABC
41,41,1969,1970-02-28,,,ABC
42,42,1970,1971-02-28,,,ABC
43,43,1971,"April 15, 1971",11,,ABC
44,44,1972,1973-02-28,,,ABC
45,45,1973,1974-02-28,,,ABC
46,46,1974,1975-02-28,,,ABC
47,47,1975,1976-02-28,,,ABC
48,48,1976,1977-02-28,,,ABC
49,49,1977,1978-02-28,,,ABC
50,50,1978,"April 3, 1978",12,,ABC
51,51,1979,"April 9, 1979",13,,ABC
52,52,1980,1981-02-28,12,,ABC
53,53,1981,"March 31, 1981",12,,ABC
54,54,1982,1983-02-28,,,ABC
55,55,1983,1984-02-28,,,ABC
56,56,1984,"April 9, 1984",12,,ABC
57,57,1985,1986-02-28,,,ABC
58,58,1986,"March 24, 1986",12,,ABC
59,59,1987,"March 30, 1987",12,,ABC
60,60,1988,"April 11, 1988",12,,ABC
61,61,1989,"March 29, 1989",14,,ABC
62,62,1990,"March 26, 1990",12,,ABC
63,63,1991,"March 25, 1991",12,,ABC
64,64,1992,"March 30, 1992",15,,ABC
65,65,1993,"March 29, 1993",16,,ABC
66,66,1994,"March 21, 1994",12,,ABC
67,67,1995,"March 27, 1995",17,,ABC
68,68,1996,"March 25, 1996",17,,ABC
69,69,1997,"March 24, 1997",17,,ABC
70,70,1998,"March 23, 1998",17,,ABC
71,71,1999,"March 21, 1999",17,,ABC
72,72,2000,2001-02-28,,,ABC
73,73,2001,2002-02-28,,,ABC
74,74,2002,"March 24, 2002",17,,ABC
75,75,2003,2004-02-28,,,ABC
76,76,2004,2005-02-28,,,ABC
77,77,2005,2006-02-28,,,ABC
78,78,2006,2007-02-28,,,ABC
79,79,2007,2008-02-28,,,ABC
80,80,2008,2009-02-28,,,ABC
81,81,2009,2010-02-28,,,ABC
82,82,2010,2011-02-28,,,ABC
83,83,2011,2012-02-28,,,ABC
84,84,2012,2013-02-28,,,ABC
85,85,2013,2014-02-28,,,ABC
86,86,2014,2015-02-28,,,ABC
87,87,2015,2016-02-28,,,ABC
88,88,2016,2017-02-28,,,ABC
89,89,2017,2018-02-28,,,ABC
90,90,2018,"March 4, 2018",18,,ABC
91,91,2019,2020-02-28,,,ABC
92,92,2020,2021-02-28,,,ABC
93,93,2021,2022-02-28,,,ABC
94,94,2022,"March 27, 2022",19,,ABC
95,95,2023,2024-02-28,,,ABC
96,96,2024,2025-02-28,,,ABC
97,97,2025,2026-02-28,,,ABC
98,-11,1917,,1,,ABC
