category_id,category_name
1,Best Picture
2,Best Director
3,Best Actor
4,Best Actress
5,Best Supporting Actor
6,Best Supporting Actress
7,Best Original Screenplay
8,Best Adapted Screenplay
9,Best Animated Feature
10,Best International Feature Film
11,Best Documentary Feature
12,Best Original Score
13,Best Original Song
14,Best Cinematography
15,Best Film Editing
16,Best Production Design
17,Best Costume Design
18,Best Makeup and Hairstyling
19,Best Sound
20,Best Visual Effects
21,Best_International_Feature_Film
